time/step,time/epoch,time/steps_per_second,time/dataset,time/env_step,time/processor,time/train_step,train/loss,time/validation,time/eval,eval/score,eval/reward,eval/length,eval/reward_std,step
0,0,6344.201692874559,0.00749516487121582,5.0067901611328125e-06,0.0002868175506591797,0.031607627868652344,0.6448495984077454,1.0967254638671875e-05,0.04695701599121094,0.011491588564161515,17.127900881374785,25.8,0.5113020271781951,0
10000,0,850.5569791314322,0.00022721290588378906,5.0067901611328125e-06,1.5179316202799479e-05,0.0009359518686930338,0.09632950633764267,5.9604644775390625e-06,0.6122927665710449,0.3974250203513623,1273.1761595496052,413.5,36.91696244620014,10000
20000,0,720.7832424715059,0.0002311070760091146,5.0067901611328125e-06,9.695688883463541e-06,0.0009903907775878906,0.08456255546212196,3.814697265625e-06,0.5673928260803223,0.3698977220716346,1183.5865769369293,376.8,137.5270395698416,20000
30000,0,835.9576861475468,0.000217437744140625,5.0067901611328125e-06,9.775161743164062e-06,0.0009757677714029948,0.07797189497947693,5.245208740234375e-06,0.6288750171661377,0.4158759440096446,1333.2260246895198,427.9,285.741279640974,30000
40000,0,836.0669985177531,0.00021799405415852865,5.0067901611328125e-06,9.616216023763021e-06,0.0009657541910807291,0.07464594274759292,5.245208740234375e-06,0.6516938209533691,0.4272242381115062,1370.1598683824336,445.9,156.5308930366368,40000
50000,0,793.1367817848179,0.00022323926289876303,5.0067901611328125e-06,9.616216023763021e-06,0.0009963512420654297,0.07228751954436302,4.76837158203125e-06,0.5885791778564453,0.39855768812640785,1276.8625087210344,390.1,211.07898209576007,50000
60000,0,771.3622808011288,0.00023635228474934897,5.0067901611328125e-06,1.0172526041666666e-05,0.0009659926096598307,0.07062602660059929,4.0531158447265625e-06,0.626194953918457,0.4123012430540166,1321.5919019606763,425.0,73.61894514067427,60000
70000,0,817.292770698378,0.00022204717000325522,5.0067901611328125e-06,9.775161743164062e-06,0.0009756088256835938,0.06898339323699475,9.059906005859375e-06,0.5427720546722412,0.35696598728127454,1141.4993110326184,370.6,577.1683236436593,70000
80000,0,777.1167020920229,0.0002295970916748047,5.0067901611328125e-06,9.775161743164062e-06,0.0009209314982096354,0.06799154810607433,4.0531158447265625e-06,0.6816010475158691,0.44956062817665804,1442.855264882154,462.1,155.1162435181221,80000
90000,0,836.579280984898,0.00021847089131673178,5.0067901611328125e-06,1.0013580322265625e-05,0.0009249051411946615,0.06710705526173115,3.814697265625e-06,0.5770390033721924,0.3895701167191504,1247.6118077297642,392.7,169.12865628947412,90000
100000,0,840.1499260465258,0.0002243518829345703,5.0067901611328125e-06,9.695688883463541e-06,0.0009297529856363932,0.06635725849866866,5.0067901611328125e-06,0.4413931369781494,0.27606932149573027,878.215263000145,295.4,199.61086765844502,100000
110000,0,774.4323641259593,0.00024469693501790363,5.0067901611328125e-06,1.0649363199869791e-05,0.0010193188985188801,0.06564192713797093,4.0531158447265625e-06,0.7111570835113525,0.46019710192929814,1477.472437780356,475.2,177.03598272463475,110000
120000,0,798.5992586550537,0.0002406438191731771,5.0067901611328125e-06,9.5367431640625e-06,0.0010300477345784504,0.06519367207586765,4.291534423828125e-06,0.6158249378204346,0.40530963807771975,1298.83721803732,414.4,66.74559688686382,120000
